"featureid","totalObs","meanMaxTemp","maxMaxTemp","meanDays.18","meanDays.20","meanDays.22","yearsMaxTemp.18","freqMax.18","yearsMaxTemp.20","freqMax.20","yearsMaxTemp.22","freqMax.22","meanResist","meanRMSE","flag"
750279,0,20.4202947253665,21.7789152537479,34,4,0,34,1,26,0.764705882352941,0,0,148.005631905834,NA,NA
750280,0,20.7526113476117,22.1246069355227,39,6,1,34,1,29,0.852941176470588,1,0.0294117647058824,136.736222665698,NA,NA
750281,0,22.0416387145716,23.4551305703069,67,24,4,34,1,34,1,20,0.588235294117647,127.353559102098,NA,NA
750282,0,23.8232255872215,25.2363905787826,97,62,20,34,1,34,1,33,0.970588235294118,202.098224539831,NA,NA
750283,0,21.2272277479577,23.0298932018797,50,11,2,34,1,32,0.941176470588235,5,0.147058823529412,104.511505338913,NA,NA
750284,0,1257.54405653047,1258.72510458191,222,222,222,34,1,34,1,34,1,113779.064387929,NA,NA
750285,0,20.178344243523,21.5504690280429,28,4,0,34,1,21,0.617647058823529,0,0,142.112753450784,NA,NA
750286,0,20.285861471111,21.6604287928716,30,4,0,34,1,22,0.647058823529412,0,0,159.510845032144,NA,NA
750287,0,20.49586169145,21.8974202008718,31,4,0,34,1,26,0.764705882352941,0,0,139.733389928093,NA,NA
750288,0,20.999906462595,22.2903664879064,41,7,1,34,1,31,0.911764705882353,2,0.0588235294117647,153.227126098563,NA,NA
750289,0,20.5831611308829,21.8807110856438,34,5,0,34,1,26,0.764705882352941,0,0,136.449034727498,NA,NA
750290,0,21.6614790538237,22.9325183404601,58,15,2,34,1,33,0.970588235294118,11,0.323529411764706,132.950361578418,NA,NA
750291,0,21.6085929023164,22.9991299463689,58,14,2,34,1,33,0.970588235294118,10,0.294117647058824,133.532766953273,NA,NA
750292,0,31.6125094443613,32.992093581566,184,164,143,34,1,34,1,34,1,927.327399238182,NA,NA
750293,0,31.5729399283671,32.9617237989232,184,164,143,34,1,34,1,34,1,921.476389415582,NA,NA
750295,0,20.3159185353393,21.6501559546192,26,3,0,34,1,22,0.647058823529412,0,0,141.266140279459,NA,NA
750296,0,20.3081526836741,21.4498548374008,26,5,0,34,1,23,0.676470588235294,0,0,142.398533482324,NA,NA
750297,0,27.6746863303683,29.1833897125679,145,120,96,34,1,34,1,34,1,530.97969858268,NA,NA
750298,0,129.174785156085,130.6817791109,222,222,222,34,1,34,1,34,1,9870.34162775954,NA,NA
750299,0,21.9062309965085,23.6643112470569,62,19,4,34,1,34,1,15,0.441176470588235,110.393968739833,NA,NA
750300,0,26.1599520247227,27.8941546169751,122,98,67,34,1,34,1,34,1,425.528757844549,NA,NA
750301,0,20.3012470558596,22.1110528012763,27,6,1,34,1,20,0.588235294117647,1,0.0294117647058824,137.600005212721,NA,NA
750302,0,233.85312959905,235.796754146054,222,222,222,34,1,34,1,34,1,19655.5421222283,NA,NA
750304,0,22.2081447170715,23.4945450172134,68,26,3,34,1,34,1,22,0.647058823529412,209.192935239865,NA,NA
750305,0,26.6673331208424,27.9616221420535,133,107,80,34,1,34,1,34,1,491.916702693502,NA,NA
750306,0,20.3722761344761,21.7513074930437,31,3,0,34,1,25,0.735294117647059,0,0,155.193327149109,NA,NA
750307,0,21.1978356299811,22.7238727963845,50,12,2,34,1,32,0.941176470588235,4,0.117647058823529,132.062098672904,NA,NA
750308,0,233.616734869298,235.70465050041,222,222,222,34,1,34,1,34,1,19608.4470687814,NA,NA
750311,0,20.3163831359546,21.7520077268018,26,6,0,34,1,20,0.588235294117647,0,0,233.247357318519,NA,NA
750312,0,20.5594507482745,22.0512115037444,30,4,1,34,1,25,0.735294117647059,1,0.0294117647058824,245.730275126036,NA,NA
750313,0,20.831483942712,22.3492781062393,35,6,1,34,1,28,0.823529411764706,3,0.0882352941176471,170.636854621988,NA,NA
750314,0,22.1012838621511,23.5075081596031,66,24,3,34,1,34,1,19,0.558823529411765,141.958702178125,NA,NA
750315,0,21.2980746589013,22.7079848721045,50,11,1,34,1,32,0.941176470588235,7,0.205882352941176,128.511153769256,NA,NA
750316,0,21.0345592708118,22.3698395956205,44,8,1,34,1,30,0.882352941176471,4,0.117647058823529,131.718549255796,NA,NA
750317,0,20.9826957984919,22.7631090872356,42,6,1,34,1,32,0.941176470588235,3,0.0882352941176471,109.555389904034,NA,NA
750318,0,22.8195825373058,24.923865091843,84,46,6,34,1,34,1,30,0.882352941176471,213.257020194193,NA,NA
750319,0,21.4089679732805,22.4629706967379,54,14,2,34,1,32,0.941176470588235,7,0.205882352941176,183.407716080247,NA,NA
750320,0,23.4971828156912,25.0143951991505,96,60,16,34,1,34,1,33,0.970588235294118,198.085717154224,NA,NA
750321,0,23.8649171862522,25.1539578704083,98,66,22,34,1,34,1,34,1,212.666790257994,NA,NA
750322,0,25.0285456271405,26.3840844400121,112,84,46,34,1,34,1,34,1,304.705726615931,NA,NA
750323,0,57.8316144572613,59.3111194398355,222,222,222,34,1,34,1,34,1,3304.54172338308,NA,NA
